name,link
Phd Homepage,https://phd.northeastern.edu/
PhD Programs,https://phd.northeastern.edu/program/
Research Scholars,https://phd.northeastern.edu/featuredprofiles/
PhD Network,https://phd.northeastern.edu/network/overview/
Overview,https://phd.northeastern.edu/network/overview/
Resources,https://phd.northeastern.edu/network/resources/
New Students,https://phd.northeastern.edu/network/newphdstudents/
Opportunities,https://phd.northeastern.edu/network/opportunities/
Experiential PhD,https://phd.northeastern.edu/network/experientialphd/
Global PhD,https://phd.northeastern.edu/network/global/
Feedback,https://phd.northeastern.edu/network/feedback/
News,https://phd.northeastern.edu/category/news/
Calendar,https://phd.northeastern.edu/calendar/
Explore Our PhD Programs,https://phd.northeastern.edu/program/
University Graduate Awards,https://phd.northeastern.edu/news/university-graduate-awards-2023/
Awards,https://phd.northeastern.edu/category/news/awards/
News,https://phd.northeastern.edu/category/news/
A Lab Accident Might Lead to New Frontier,https://phd.northeastern.edu/news/research/a-lab-accident-might-lead-to-new-frontier-in-electronics-design/
Research,https://phd.northeastern.edu/category/news/research/
STARS Fellowships,https://phd.northeastern.edu/news/phd-studies-news/stars-fellowships/
PhD Studies,https://phd.northeastern.edu/category/news/phd-studies-news/
LEADERs,https://phd.northeastern.edu/news/experiential/leaders-opportunity/
Experiential,https://phd.northeastern.edu/category/news/experiential/
Doctoral Office Hours,https://phd.northeastern.edu/calendar/doctoral-office-hours-in-person-9/
Amgen Massachusetts,https://phd.northeastern.edu/calendar/amgen-massachusetts-external-outreach-program-fall-2023-lecture-series-6/
View All Events,https://phd.northeastern.edu/calendar/
