name,link
International Student Hub,https://international.northeastern.edu/
Office of Global Services,https://international.northeastern.edu/ogs/
Global Student Success,https://international.northeastern.edu/gss/
Global Pathways,https://international.northeastern.edu/global-pathways/
NU Immerse,https://www.northeastern.edu/admissions/academics/specialized-entry/nu-immerse/
NU Bound,https://www.northeastern.edu/admissions/academics/specialized-entry/nu-bound-china/
Graduate Programs,https://www.northeastern.edu/graduate/programs/
Undergraduate Admissions,https://www.northeastern.edu/admissions/
Bachelors Completion,https://www.northeastern.edu/bachelors-completion/
Pre-College,https://www.northeastern.edu/precollegeprograms/
E-Forms,https://international.northeastern.edu/ogs/ogs-forms-and-guides/
New Students,https://international.northeastern.edu/ogs/new-students/
I20 & DS-2019 Application,https://international.northeastern.edu/ogs/new-students/i-20-ds-2019-application/
Requesting Your I-20 (F-1),https://international.northeastern.edu/ogs/new-students/i-20-ds-2019-application/prearrivali20/
Requesting Your NU.in I-20 (F-1),https://international.northeastern.edu/ogs/new-students/i-20-ds-2019-application/requesting-your-nu-in-i-20-f-1/
Deferring Your Program Start,https://international.northeastern.edu/ogs/new-students/i-20-ds-2019-application/deferring-your-program-start/
Applying as a J-1 Student,https://international.northeastern.edu/ogs/new-students/i-20-ds-2019-application/applying-as-a-j-1-student/
Dependents,https://international.northeastern.edu/ogs/new-students/i-20-ds-2019-application/dependents/
Financial Requirements,https://international.northeastern.edu/ogs/new-students/i-20-ds-2019-application/financial-requirements/
Visa Application,https://international.northeastern.edu/ogs/new-students/visa-application/
F-1 Visa Process,https://international.northeastern.edu/ogs/new-students/f-1-visa-process/
J-1 Student Visa Process,https://international.northeastern.edu/ogs/new-students/visa-application/j-1-student-visa-process/
Paying the I-901 SEVIS Fee,https://international.northeastern.edu/ogs/new-students/paying-sevis-fee/
Arrival,https://international.northeastern.edu/ogs/new-students/arrival/
Jumpstart,https://international.northeastern.edu/ogs/new-students/jumpstart/
Arriving in the U.S.,https://international.northeastern.edu/ogs/new-students/arrival/arriving-in-the-u-s/
Online Immigration Clearance,https://international.northeastern.edu/ogs/new-students/arrival/online-immigration-clearance/
Obtaining I-94,https://international.northeastern.edu/ogs/new-students/arrival/obtaining-i-94/
Settling in at NU,https://international.northeastern.edu/ogs/new-students/arrival/settling-in-at-nu/
International Student Orientation,https://international.northeastern.edu/ogs/new-students/arrival/international-student-orientation/
Current Students,https://international.northeastern.edu/ogs/current-students/
Understanding Visa Requirements,https://international.northeastern.edu/ogs/current-students/understanding-visa-requirements/
Guidelines on Maintaining Status,https://international.northeastern.edu/ogs/current-students/understanding-visa-requirements/guidelines-on-maintaining-status/
Reduced Course Load,https://international.northeastern.edu/ogs/current-students/understanding-visa-requirements/reduced-course-load/
