prompt,link
Florida politicians as seen by AI: A team of programmers used Midjourney to generate AI-generated images of politicians based on a simple prompt. The results are fascinating and often humorous.,https://twitter.com/simonkp/status/1702496361546137691
"Did you know minimalist ink drawings emphasize simplicity?

Prompt: [SUBJECT], minimalist ink drawing style, vanishing point on white paper

Show me your results in the comments below.",https://twitter.com/TheFirstRaph/status/1698009432473391341
Good morning Fam,https://twitter.com/CadizFFM/status/1703739978365427833
Another style,https://twitter.com/DMJeffChronicle/status/1706015517176115543
"When it rains look for rainbows, when it’s dark look for stars
https://redbubble.com/studio/promote/149797564…",https://twitter.com/MargaretWiktor/status/1699793553831117022
"Where the sky meets the ocean, and dreams come true.",https://twitter.com/Malzahran2/status/1705632520933371914
"Queen

So many sacrifices have made me great, so lonely and lonely that nothing can fill me",https://twitter.com/Doonbo_artist/status/1703392241467994398
My best Midjourney photo of day 9/365,https://twitter.com/michael_brig/status/1702804232448172407
"Bonjour tout le monde 
Good morning everyone",https://twitter.com/MathisYanis/status/1703644106985992456
"Midjourney cracks me up  

Presenting my white house cat or as MJ rendered it: my White House cat.",https://twitter.com/JourneyWithMeAI/status/1701327834117984496
"Are you an international graduate student with a passion for economics and individual rights? Don't miss out on our 2024 Graduate Fellowships!

 Deadline: October 1, 2023",https://twitter.com/aier/status/1702805742418317761/analytics
holi hurricane ( with midjourney ),https://twitter.com/feel_rave/status/1696724792408248658
"What would happen if we used current AI tools to reinterpret classic advertisements?

https://tomlibertiny.com/2023/09/ai-tools/…",https://twitter.com/Libertiny/status/1705684363231326413
"Sram kartana from 

 ! I used 

  and 

  to create this fan art.  I will post the process in the comments.",https://twitter.com/GCepec/status/1704163837421720058
"Good Morning dear friends of  
I wish you all a very good day ahead and hope you get to see many happy faces around you .

 Prompt Share 
Here is an Original  and brand-new prompt for the community that you won't find it anywhere else. 

Copy the prompt… Show more",https://twitter.com/ShahHossain/status/1697904614278881412
5 default style,https://twitter.com/voxeloops/status/1703390013076160882
"Today's   freshly made!

One of my recent <Blue Ocean Period> concept:
super talented  of  created this art according to my wishes

.Creating everyday on  on 

https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/8416606293239445603729245185561759308136905379195451964821854864860663250945/…",https://twitter.com/chair_house/status/1704296266535252119
"Tiny Midjourney Prompt [25/45]

ARTIST: DAN FALVIN 

PROMPT: Dan flavin, geometry.

- With just three words in a prompt and the results are absolutely mind-blowing.

- Click on image for an enhanced viewing experience.

- Share your beautiful and minimalist creations by… Show more",https://twitter.com/IdreesAlamm/status/1697842127131336856
"""This alternative is 10x better than ChatGPT and can be used anywhere.""

Here's how to use it, literally on any app or website:",https://twitter.com/LeoYe_AI/status/1698314433821650984/analytics
"GN lovely creators.
Today was the first sunny day since months. I sat on my balcony and thought about going for a long walk. And sat in the sun. Thinking. What am I doing here?",https://twitter.com/HO_PDM/status/1698439725252547017
"Tight Deadlines? No Problem! Arrk Has You Covered. AI Content Creation in seconds : Copy, Images, Voiceovers + More! Start Creating Content For FREE : https://arrk.app 
-",https://twitter.com/HeyArrk/status/1704829780690968980
"Good morning friends  — ""First light"" 

Made with Midjourney
Prompt  Alt",https://twitter.com/hugovntr/status/1704025821185183779
Check this new video ( COMBINE MIDJOURNEY WITH DALL-E-2 ) Created by https://youtube.com/ and follow for more ai business videos on ammar ai https://ammar.ai/video_page/1678008832610x617627366366380000…,https://twitter.com/ammar_ai_time/status/1704460343769026843
"GM Friends

Crafting GMs with Midjourney has been an incredible creative journey.

Seeing each one come to life is magical.

GM allows me to explore my creativity in new ways.

Thank you to everyone who has liked and supported my GMs

Your encouragement inspires me.",https://twitter.com/dark3web1/status/1701475734680981941
"The only ChatGPT guide you'll ever need.

Go from beginner to pro with the Ultimate ChatGPT Cheat Sheet.",https://twitter.com/AIToolReport/status/1704534634690666889/analytics
"Dungeon masters, would you use that map in one of your games? 

Is the Resolution high enough?
Is the perspective OK?
Is the Arstyle appropriate?
Do you prefer with or without a grid?",https://twitter.com/DMJeffChronicle/status/1703874065650389069
"Good morning! Weekend is here! Have a great day today everyone. I think I will go out for a hike in the afternoon. 

Nature = important mental health boost. Don't go outside if you're experiencing the weather below.",https://twitter.com/Caelitus_/status/1705594080892219460
"Who Doesn't Love Some Stickers?

Grab these 149 Cartoon Sticker Midjourney Prompts

To get it:

1. RT this tweet
2. Reply 'STICKER'
3. Follow me 

  

Must follow or can't DM    

P.S.
Grab them while you can",https://twitter.com/ItsAivik/status/1698099527364882772
"""Miami vibes"" 

Transformed this Midjourney picture into this cool animation using PS Gen Fill and After Effects. 

This is just a glimpse of the final AI animation you'll create in my upcoming course!

Sound on",https://twitter.com/0xFramer/status/1699079259317235987
Sweet But Psycho,https://twitter.com/Shiv_Dwiv/status/1703431114269085978
"""Don't try anything behind my back.""",https://twitter.com/Caelitus_/status/1704651088991838654
"Aliens are here...
Image prompt: ""Several extraterrestrial aliens similar to colossal black-armored men with terrible, extremely large stainless steel jaws (chelicerae), eerie, sunset.""",https://twitter.com/sweetos_art/status/1702318436364460209
"Sitting on a Pink Cloud: A Dreamy Escape 

Huge thanks to my new friend, Miss 

, for the tags and inspiration!  Here's my contribution, where I found comfort in the serene embrace of a pink cloud.",https://twitter.com/PassDReaffer/status/1704298134262730911
